class_code,college_name,department_name,course_name,professor,class_time,class_type
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
SSE3069-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"스토리지아키텍처
Storage Architecture",신동군,"화13:30-14:45【400202】,목12:00-13:15【400126】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
ICE2001-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박형원,"화09:00-10:15【21534】,목10:30-11:45【21534】",국제어수업
ICE2001-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】",일반수업
ICE3024-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"디지털시스템
Digital Systems",김종태,"월13:30-14:45【21514】,수12:00-13:15【21514】",일반수업
ICE3028-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"임베디드시스템설계
Embedded System Design",전강은,"월18:00-19:15【21514】,수18:00-19:15【21514】",국제어수업
ICE3045-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"기계학습개론
Introduction to Machine Learning",박은병,"화16:30-17:45【23219】,목15:00-16:15【23219】",일반수업
