class_code,college_name,department_name,course_name,professor,class_time,class_type
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
COV3018-41,성균융합원,데이터사이언스융합전공,"융합연구프로젝트1
Convergence Research Project 1",자연과학,일반수업,일반수업
